State,Customer Lifetime Value,Monthly Premium Auto,Months Since Last Claim,Income,Months Since Policy Inception,Number of Policies,Total Claim Amount
Washington,2763.519279,69,32,56274,5,1,$384.81 
Arizona,6979.535903,94,13,,42,8,"$1,131.46 "
Nevada,12887.43165,108,18,48767,38,2,$566.47 
California,7645.861827,106,18,,65,7,$529.88 
Washington,2813.692575,73,12,43836,44,1,$138.13 
Oregon,8256.2978,69,14,62902,94,2,$159.38 
Oregon,5380.898636,67,,55350,13,9,$321.60 
Arizona,7216.100311,101,,,68,4,$363.03 
Oregon,24127.50402,71,13,14072,3,2,$511.20 
Oregon,7388.178085,93,17,28812,7,8,$425.53 
California,4738.992022,67,23,,5,3,$482.40 
California,8197.197078,110,27,,87,3,$528 
California,8798.797003,110,9,77026,82,3,$472.03 
Arizona,8819.018934,110,23,99845,25,8,$528 
California,5384.431665,70,21,83689,10,8,$307.14 
Oregon,7463.139377,64,12,24599,50,2,$42.92 
Nevada,2566.867823,67,14,25049,7,1,$454.25 
California,3945.241604,101,12,28855,59,1,$647.44 
Oregon,5710.333115,72,9,51148,1,7,$308.98 
California,8162.617053,101,11,66140,21,3,$484.80 
Oregon,2872.051273,74,31,57749,21,1,$355.20 
Washington,3041.791561,79,8,13789,49,1,$379.20 
Arizona,24127.50402,71,13,14072,3,2,$511.20 
Nevada,2450.190996,73,4,,44,1,$554.38 
California,2392.10789,61,30,17870,91,1,$439.20 
Oregon,5802.065978,72,22,97541,1,3,$389.19 
California,3946.372085,111,15,,47,1,$799.20 
Washington,5346.916576,139,33,10511,64,1,$516.24 
Arizona,12902.56014,111,33,86584,54,2,$532.80 
